HORVU1Hr1G024810	MLOC_72346
HORVU1Hr1G025020	MLOC_67136
HORVU1Hr1G025040	MLOC_15083
HORVU1Hr1G025250	MLOC_37688
HORVU1Hr1G025280	MLOC_46212
HORVU1Hr1G025340	MLOC_5657
HORVU1Hr1G025360	MLOC_36520
HORVU1Hr1G025480	MLOC_50945
HORVU1Hr1G025530	MLOC_12172
HORVU1Hr1G025660	MLOC_57413
HORVU1Hr1G025690	MLOC_18762
HORVU1Hr1G025830	MLOC_2049
HORVU1Hr1G025960	MLOC_14516
HORVU1Hr1G026140	MLOC_64860
HORVU1Hr1G026280	MLOC_19318
HORVU1Hr1G026480	MLOC_8168
HORVU1Hr1G026530	MLOC_77640
HORVU1Hr1G026590	MLOC_81111
HORVU1Hr1G026780	MLOC_21450
HORVU1Hr1G027400	MLOC_55490
HORVU1Hr1G027420	MLOC_2467
HORVU1Hr1G027490	MLOC_59216
HORVU1Hr1G027620	MLOC_27773
HORVU1Hr1G027690	MLOC_9522
HORVU1Hr1G027920	MLOC_55178
HORVU1Hr1G028200	MLOC_57896
HORVU1Hr1G028250	MLOC_53193
HORVU1Hr1G028270	MLOC_74703
HORVU1Hr1G028450	MLOC_57039
HORVU1Hr1G028520	MLOC_65522
HORVU1Hr1G028570	MLOC_57923
HORVU1Hr1G028690	MLOC_16034
HORVU1Hr1G028720	MLOC_21356
HORVU1Hr1G028900	MLOC_13236
HORVU1Hr1G028920	MLOC_56286
HORVU1Hr1G029110	MLOC_48425
HORVU1Hr1G029220	MLOC_57700
HORVU1Hr1G029460	MLOC_38149
HORVU1Hr1G029490	MLOC_5029
HORVU1Hr1G029520	MLOC_71202
HORVU1Hr1G029540	MLOC_67317
HORVU1Hr1G029770	MLOC_10224
HORVU1Hr1G029870	MLOC_65818
HORVU1Hr1G029920	MLOC_79077
HORVU1Hr1G030030	MLOC_64658
HORVU1Hr1G030140	MLOC_75316
HORVU1Hr1G030200	MLOC_10453
HORVU1Hr1G030390	MLOC_3912
HORVU1Hr1G030540	MLOC_63862
HORVU1Hr1G030630	MLOC_55250
HORVU1Hr1G030740	MLOC_75638
HORVU1Hr1G030790	MLOC_55086
HORVU1Hr1G030870	MLOC_78863
HORVU1Hr1G031180	MLOC_14312
HORVU1Hr1G031230	MLOC_39397
HORVU1Hr1G031420	MLOC_73318
HORVU1Hr1G031460	MLOC_50628
HORVU1Hr1G032190	MLOC_9579
HORVU1Hr1G032510	MLOC_15889
HORVU1Hr1G032850	MLOC_65911
HORVU1Hr1G032900	MLOC_15792
HORVU1Hr1G032960	MLOC_74584
HORVU1Hr1G033060	MLOC_69853
HORVU1Hr1G033270	MLOC_69391
HORVU1Hr1G033390	MLOC_45112
